bean_name;bean_details;attribute_name
RuntimeImpl;SpecName;RuntimeImpl.SpecName
RuntimeImpl;SpecVendor;RuntimeImpl.SpecVendor
RuntimeImpl;SpecVersion;RuntimeImpl.SpecVersion
RuntimeImpl;SystemProperties."sun.desktop";RuntimeImpl.SystemProperties."sun.desktop"
RuntimeImpl;SystemProperties."awt.toolkit";RuntimeImpl.SystemProperties."awt.toolkit"
RuntimeImpl;SystemProperties."file.encoding.pkg";RuntimeImpl.SystemProperties."file.encoding.pkg"
RuntimeImpl;SystemProperties."java.specification.version";RuntimeImpl.SystemProperties."java.specification.version"
RuntimeImpl;SystemProperties."sun.cpu.isalist";RuntimeImpl.SystemProperties."sun.cpu.isalist"
RuntimeImpl;SystemProperties."sun.jnu.encoding";RuntimeImpl.SystemProperties."sun.jnu.encoding"
RuntimeImpl;SystemProperties."java.class.path";RuntimeImpl.SystemProperties."java.class.path"
RuntimeImpl;SystemProperties."java.vm.vendor";RuntimeImpl.SystemProperties."java.vm.vendor"
RuntimeImpl;SystemProperties."sun.arch.data.model";RuntimeImpl.SystemProperties."sun.arch.data.model"
RuntimeImpl;SystemProperties."user.variant";RuntimeImpl.SystemProperties."user.variant"
RuntimeImpl;SystemProperties."java.vendor.url";RuntimeImpl.SystemProperties."java.vendor.url"
RuntimeImpl;SystemProperties."user.timezone";RuntimeImpl.SystemProperties."user.timezone"
RuntimeImpl;SystemProperties."os.name";RuntimeImpl.SystemProperties."os.name"
RuntimeImpl;SystemProperties."java.vm.specification.version";RuntimeImpl.SystemProperties."java.vm.specification.version"
RuntimeImpl;SystemProperties."user.country";RuntimeImpl.SystemProperties."user.country"
RuntimeImpl;SystemProperties."sun.java.launcher";RuntimeImpl.SystemProperties."sun.java.launcher"
RuntimeImpl;SystemProperties."sun.boot.library.path";RuntimeImpl.SystemProperties."sun.boot.library.path"
RuntimeImpl;SystemProperties."sun.java.command";RuntimeImpl.SystemProperties."sun.java.command"
RuntimeImpl;SystemProperties."sun.cpu.endian";RuntimeImpl.SystemProperties."sun.cpu.endian"
RuntimeImpl;SystemProperties."user.home";RuntimeImpl.SystemProperties."user.home"
RuntimeImpl;SystemProperties."user.language";RuntimeImpl.SystemProperties."user.language"
RuntimeImpl;SystemProperties."java.specification.vendor";RuntimeImpl.SystemProperties."java.specification.vendor"
RuntimeImpl;SystemProperties."java.home";RuntimeImpl.SystemProperties."java.home"
RuntimeImpl;SystemProperties."file.separator";RuntimeImpl.SystemProperties."file.separator"
RuntimeImpl;SystemProperties."line.separator";RuntimeImpl.SystemProperties."line.separator"
RuntimeImpl;SystemProperties."java.vm.specification.vendor";RuntimeImpl.SystemProperties."java.vm.specification.vendor"
RuntimeImpl;SystemProperties."java.specification.name";RuntimeImpl.SystemProperties."java.specification.name"
RuntimeImpl;SystemProperties."java.awt.graphicsenv";RuntimeImpl.SystemProperties."java.awt.graphicsenv"
RuntimeImpl;SystemProperties."sun.boot.class.path";RuntimeImpl.SystemProperties."sun.boot.class.path"
RuntimeImpl;SystemProperties."user.script";RuntimeImpl.SystemProperties."user.script"
RuntimeImpl;SystemProperties."sun.management.compiler";RuntimeImpl.SystemProperties."sun.management.compiler"
RuntimeImpl;SystemProperties."java.runtime.version";RuntimeImpl.SystemProperties."java.runtime.version"
RuntimeImpl;SystemProperties."user.name";RuntimeImpl.SystemProperties."user.name"
RuntimeImpl;SystemProperties."path.separator";RuntimeImpl.SystemProperties."path.separator"
RuntimeImpl;SystemProperties."os.version";RuntimeImpl.SystemProperties."os.version"
RuntimeImpl;SystemProperties."java.endorsed.dirs";RuntimeImpl.SystemProperties."java.endorsed.dirs"
RuntimeImpl;SystemProperties."java.runtime.name";RuntimeImpl.SystemProperties."java.runtime.name"
RuntimeImpl;SystemProperties."file.encoding";RuntimeImpl.SystemProperties."file.encoding"
RuntimeImpl;SystemProperties."java.vm.name";RuntimeImpl.SystemProperties."java.vm.name"
RuntimeImpl;SystemProperties."java.vendor.url.bug";RuntimeImpl.SystemProperties."java.vendor.url.bug"
RuntimeImpl;SystemProperties."java.io.tmpdir";RuntimeImpl.SystemProperties."java.io.tmpdir"
RuntimeImpl;SystemProperties."java.version";RuntimeImpl.SystemProperties."java.version"
RuntimeImpl;SystemProperties."user.dir";RuntimeImpl.SystemProperties."user.dir"
RuntimeImpl;SystemProperties."os.arch";RuntimeImpl.SystemProperties."os.arch"
RuntimeImpl;SystemProperties."java.vm.specification.name";RuntimeImpl.SystemProperties."java.vm.specification.name"
RuntimeImpl;SystemProperties."java.awt.printerjob";RuntimeImpl.SystemProperties."java.awt.printerjob"
RuntimeImpl;SystemProperties."sun.os.patch.level";RuntimeImpl.SystemProperties."sun.os.patch.level"
RuntimeImpl;SystemProperties."java.library.path";RuntimeImpl.SystemProperties."java.library.path"
RuntimeImpl;SystemProperties."java.vm.info";RuntimeImpl.SystemProperties."java.vm.info"
RuntimeImpl;SystemProperties."java.vendor";RuntimeImpl.SystemProperties."java.vendor"
RuntimeImpl;SystemProperties."java.vm.version";RuntimeImpl.SystemProperties."java.vm.version"
RuntimeImpl;SystemProperties."java.ext.dirs";RuntimeImpl.SystemProperties."java.ext.dirs"
RuntimeImpl;SystemProperties."sun.io.unicode.encoding";RuntimeImpl.SystemProperties."sun.io.unicode.encoding"
RuntimeImpl;SystemProperties."java.class.version";RuntimeImpl.SystemProperties."java.class.version"
RuntimeImpl;BootClassPath;RuntimeImpl.BootClassPath
RuntimeImpl;LibraryPath;RuntimeImpl.LibraryPath
RuntimeImpl;Uptime;RuntimeImpl.Uptime
RuntimeImpl;VmName;RuntimeImpl.VmName
RuntimeImpl;VmVendor;RuntimeImpl.VmVendor
RuntimeImpl;VmVersion;RuntimeImpl.VmVersion
RuntimeImpl;BootClassPathSupported;RuntimeImpl.BootClassPathSupported
RuntimeImpl;ObjectName.type;RuntimeImpl.ObjectName.type
GarbageCollectorImpl;CollectionCount;GarbageCollectorImpl.CollectionCount
GarbageCollectorImpl;CollectionTime;GarbageCollectorImpl.CollectionTime
GarbageCollectorImpl;Name;GarbageCollectorImpl.Name
GarbageCollectorImpl;MemoryPoolNames#0;GarbageCollectorImpl.MemoryPoolNames#0
GarbageCollectorImpl;MemoryPoolNames#1;GarbageCollectorImpl.MemoryPoolNames#1
GarbageCollectorImpl;Valid;GarbageCollectorImpl.Valid
GarbageCollectorImpl;ObjectName.name;GarbageCollectorImpl.ObjectName.name
GarbageCollectorImpl;ObjectName.type;GarbageCollectorImpl.ObjectName.type
HotSpotDiagnostic;DiagnosticOptions.name#0;HotSpotDiagnostic.DiagnosticOptions.name#0
HotSpotDiagnostic;DiagnosticOptions.origin#0;HotSpotDiagnostic.DiagnosticOptions.origin#0
